,,Nombre,Bt.LISTA 1,Bt.LISTA 2,Rubro,Artículo
,,COMINO MOLIDO X KG.,"13890,00","11130,00",ESPECIAS,1214
,,CONDIMENTO PARA ARROZ X KG,"12830,00","10320,00",ESPECIAS,1219
,,COPOS DE MAIZ C/AZUCAR X KG,"4790,00","4210,00",CEREALES,1228
,,COPOS DE MAIZ X KG.,"4180,00","3420,00",CEREALES,1229
,,CORAZON DE  ALCAUCIL CONDIM X 330 GR,"8980,00","7200,00",ENCURTIDOS,1101
,,CORAZONES DE ALCAUCIL X 300 GR,"8980,00","7210,00",ENCURTIDOS,1230
,,CORDERO CON PIEL DEL LOBO X 750CC,"6670,00","5340,00",VINOS,1231
,,"CORDYCEPS EXTRACTO 60CC ""SOMOS SETA""","24420,00","21460,00",SUPLEMENTOS,2105
,,"CORDYCEPS X 60 CAPSULAS ""SOMOS SETA""","31520,00","27700,00",SUPLEMENTOS,2114
,,CORIANDRO ENTERO X KG.,"3000,00","2360,00",ESPECIAS,1232
,,CORIANDRO MOLIDO,"4330,00","3460,00",ESPECIAS,1233
,,CREATINA MONOHIDRATO,"22680,00","18200,00",SUPLEMENTOS,2238
,,CUENCOS DE CERÁMICA,"15000,00","13880,00",PALADEAR HOME,2292
,,"CURCUMA ACTIVADA CON PIMIENTA X 30 COMP. ""EL NATURALISTA""","8820,00","8310,00",SUPLEMENTOS,2169
,,CURCUMA MOLIDA X KG,"12450,00","9990,00",ESPECIAS,1236
,,"CURCUMA, JENGIBRE Y PIMIENTA vitawellness x 30 cap","13610,00","11850,00",SUPLEMENTOS,2226
,,"CURCUMA+PIMIENTA X 50 CÁPSULAS ""NATIER""","24390,00","21240,00",SUPLEMENTOS,2051
,,CURRY X KG,"15570,00","12560,00",ESPECIAS,1239
,,CUSCUS X KG,"15910,00","12760,00",GRANOS Y LEGUMBRES,1240
,,CHIMICHURRI X KG.,"12430,00","9990,00",ESPECIAS,1201
,,CHIPS DE BANANA X KG,"15440,00","12400,00",DESHIDRATADOS,1202
,,"CHIPS DE BATATA ""SIN TACC"" - BOUTIQUE CHIPS ","3850,00","3290,00",PRODUCTOS SIN TACC,2488
